YEAR,MONTH,PASSENGERS,DEPARTURES_PERFORMED,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_STATE_ABR,DEST_AIRPORT_ID,DEST,DEST_STATE_ABR,
2025,1,1000.00,10.00,10397,ATL,GA,12892,LAX,CA,
2025,2,800.00,8.00,12892,LAX,CA,10397,ATL,GA,
2025,3,500.00,5.00,13930,ORD,IL,12478,JFK,NY,
2025,4,0.00,3.00,13930,ORD,IL,10397,ATL,GA,
2025,5,900.00,6.00,12892,LAX,CA,12173,HNL,HI,
2025,6,300.00,2.00,10299,ANC,AK,13930,ORD,IL,
2025,7,200.00,2.00,10397,ATL,GA,13930,ORD,IL,
2025,8,100.00,1.00,13930,ORD,IL,10397,ATL,GA,
2025,9,10.00,1.00,12478,JFK,NY,13930,ORD,IL,
2025,10,10.00,1.00,12478,JFK,NY,13930,ORD,IL,
2025,11,10.00,1.00,12478,JFK,NY,13930,ORD,IL,
2025,12,10.00,1.00,12478,JFK,NY,13930,ORD,IL,
2025,12,5.00,1.00,10397,ATL,GA,10397,ATL,GA,
